"PROVINCIA_FALLECIMIENTO","ratio"
"PATAZ",0.864321608040201
"PAUCAR DEL SARA SARA",0.451612903225806
"PAUCARTAMBO",1.18881118881119
"PICOTA",2.04225352112676
"PISCO",1.75743348982786
"PIURA",2.05385015608741
"POMABAMBA",1.13223140495868
"PUERTO INCA",1.4375
"PUNO",1.38818181818182
"QUISPICANCHI",0.967741935483871
"RECUAY",1.01408450704225
"REQUENA",1.91304347826087
"RIOJA",1.25515463917526
"RODRIGUEZ DE MENDOZA",1.17647058823529
"SAN ANTONIO DE PUTINA",1.03314917127072
"SAN IGNACIO",1.57857142857143
"SAN MARCOS",1.06703910614525
"SAN MARTIN",1.46642468239564
"SAN MIGUEL",0.946236559139785
"SAN PABLO",0.869047619047619
"SAN ROMAN",1.38423098278734
"SANCHEZ CARRION",1.30293159609121
"SANDIA",0.81437125748503
"SANTA",1.89157155399473
"SANTA CRUZ",1.11111111111111
"SANTIAGO DE CHUCO",1.11042944785276
"SATIPO",1.28761061946903
"SECHURA",1.70967741935484
"SIHUAS",0.993243243243243
"SIN REGISTRO",1.08510638297872
"SUCRE",1.43243243243243
"SULLANA",1.74570883661793
"TACNA",1.46964643095397
"TAHUAMANU",3.14285714285714
"TALARA",1.98461538461538
"TAMBOPATA",1.60869565217391
"TARATA",1.15
"TARMA",1.27095516569201
"TAYACAJA",1.11138613861386
"TOCACHE",1.74452554744526
"TRUJILLO",1.67671691792295
"TUMBES",1.69239904988124
"UCAYALI",1.74683544303797
"URUBAMBA",1.21551724137931
"UTCUBAMBA",1.52158273381295
"VICTOR FAJARDO",1.2
"VILCAS HUAMAN",1.06451612903226
"VIRU",2.24463519313305
"YAROWILCA",1.2289156626506
"YAULI",0.958620689655172
"YAUYOS",1.63157894736842
"YUNGAY",1.05485232067511
"YUNGUYO",1.44021739130435
"ZARUMILLA",2.15116279069767
